"Otu000001" "Otu000007" "Otu000009" "Otu000012" "Otu000017" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000030" "Otu000041" "Otu000046" "Otu000056" "Otu000070" "Otu000075" "Otu000077" "Otu000082" "Otu000083" "Otu000093" "Otu000110" "Otu000136" "Otu000137" "Otu000142" "Otu000161" "Otu000176" "Otu000215" "Otu000227" "Otu000231" "Otu000256" "Otu000262" "Otu000267" "Otu000385" "Otu000387" "Otu000390" "Otu000441" "Otu000646" "Otu000674" "Otu000745" "Otu000775" "Otu001006" "Otu001028" "Otu001118" "Otu001345" "Otu001451" "Otu001677" "Otu002142" "Otu002392" "Otu002522" "Otu003218" "Otu003936" "Otu004969"
"110D2F115" 0.41010951979781 0.139342881213142 0.0311710193765796 0.0251053074978939 0.0377422072451559 0.0481887110362258 0.0394271272114575 0.030497051390059 0.00235888795282224 0.0165122156697557 0.0106149957877001 0.00134793597304128 0.0279696714406066 0.0586352148272957 0.00185341196293176 0.0404380791912384 0.00320134793597304 0.00033698399326032 0.00370682392586352 0.00454928390901432 0.00522325189553496 0.00640269587194608 0.00269587194608256 0.00033698399326032 0 0.00454928390901432 0.00539174389216512 0 0.0213984835720303 0.00808761583824768 0.00117944397641112 0 0 0 0.00033698399326032 0.00893007582139848 0 0.00033698399326032 0 0.00067396798652064 0 0.00033698399326032 0 0.00033698399326032 0 0 0 0 0.00050547598989048 0 0 0.00016849199663016
"110D2F415" 0.225947767481045 0.203875315922494 0.0151642796967144 0.0251053074978939 0.0623420387531592 0.0525695029486099 0.0124684077506318 0.0141533277169334 0.0008424599831508 0.00219039595619208 0.00151642796967144 0.00033698399326032 0 0.0122999157540017 0 0.0144903117101938 0.00269587194608256 0 0.00117944397641112 0.004212299915754 0.319797809604044 0.00016849199663016 0.0025273799494524 0.00067396798652064 0 0.00893007582139848 0 0.00067396798652064 0.00909856781802864 0.00219039595619208 0.00067396798652064 0 0.00033698399326032 0 0.00117944397641112 0.00016849199663016 0 0.00101095197978096 0 0.00050547598989048 0 0 0 0 0 0 0.00016849199663016 0 0.00050547598989048 0 0 0
"110D2F515" 0.298567818028644 0.150631844987363 0.0702611625947767 0.0331929233361415 0.155012636899747 0.0855939342881213 0.0483572030328559 0.0222409435551811 0 0.0202190395956192 0.00202190395956192 0 0.0279696714406066 0.00960404380791912 0.0008424599831508 0.0124684077506318 0.0203875315922494 0.00016849199663016 0.00067396798652064 0.0102780117944398 0.00235888795282224 0.00067396798652064 0.00640269587194608 0.0008424599831508 0 0.00572872788542544 0.00101095197978096 0.0016849199663016 0.0058972198820556 0.00185341196293176 0.00067396798652064 0 0.00016849199663016 0 0.00134793597304128 0.0008424599831508 0 0 0 0.00050547598989048 0 0 0 0 0 0.00067396798652064 0 0 0.0008424599831508 0 0 0
"110D2F715" 0.319123841617523 0.108171861836563 0.037910699241786 0.0857624262847515 0.0871103622577928 0.0786857624262847 0.0490311710193766 0.0419545071609099 0.00488626790227464 0.012636899747262 0.00185341196293176 0 0.0153327716933446 0.00808761583824768 0.00067396798652064 0.0264532434709351 0.0207245155855097 0.00050547598989048 0.00185341196293176 0.0067396798652064 0.00303285593934288 0.00370682392586352 0.0318449873631002 0.00067396798652064 0 0.00977253580454928 0.0075821398483572 0.00050547598989048 0.0227464195450716 0.00707666385846672 0.00117944397641112 0 0 0 0.00067396798652064 0.0016849199663016 0 0 0 0.00067396798652064 0 0 0 0 0.00016849199663016 0.00067396798652064 0 0 0.00016849199663016 0 0 0.00033698399326032
"110D2F815" 0.280033698399326 0.0869418702611626 0.0272957034540859 0.034709351305813 0.118112889637742 0.0540859309182814 0.0699241786015164 0.0382476832350463 0.00909856781802864 0.0188711036225779 0.00488626790227464 0.00117944397641112 0.0257792754844145 0.0170176916596462 0.0025273799494524 0.0160067396798652 0.0207245155855097 0.00151642796967144 0.0141533277169334 0.00488626790227464 0.00454928390901432 0.0183656276326874 0.0139848357203033 0.00219039595619208 0 0.00909856781802864 0.0102780117944398 0.00033698399326032 0.0436394271272115 0.0368997472620051 0.0008424599831508 0 0.00050547598989048 0.00033698399326032 0.00151642796967144 0.00741364785172704 0 0 0 0.00134793597304128 0.00016849199663016 0.00117944397641112 0 0 0.00016849199663016 0.0008424599831508 0.00016849199663016 0 0 0.00016849199663016 0 0
"110D2F915" 0.296040438079191 0.0731255265374895 0.0251053074978939 0.0234203875315923 0.0539174389216512 0.0399326032013479 0.0717775905644482 0.0416175231676495 0.00825610783487784 0.0133108677337826 0.00572872788542544 0.00033698399326032 0.0331929233361415 0.0276326874473462 0.00134793597304128 0.0153327716933446 0.00353833192923336 0.00050547598989048 0.029486099410278 0.00775063184498736 0.00404380791912384 0.0326874473462511 0.015838247683235 0 0 0.0181971356360573 0.0058972198820556 0.0008424599831508 0.0859309182813816 0.0330244313395114 0.00134793597304128 0 0.00101095197978096 0 0.00050547598989048 0.0207245155855097 0.00050547598989048 0 0 0.00488626790227464 0 0.00235888795282224 0 0 0 0.00067396798652064 0.00016849199663016 0 0 0 0 0
"110M2F115" 0.447514743049705 0.145408593091828 0.0267902274641954 0.0187026116259478 0.0689132266217355 0.0187026116259478 0.0141533277169334 0.0350463352990733 0.004212299915754 0.0188711036225779 0.0729570345408593 0.0075821398483572 0.0399326032013479 0.00016849199663016 0.0149957877000842 0.00623420387531592 0.0166807076663858 0.00016849199663016 0.0075821398483572 0.00909856781802864 0.00219039595619208 0.00320134793597304 0.00185341196293176 0.00050547598989048 0 0.0033698399326032 0.004212299915754 0 0.00151642796967144 0.00151642796967144 0.0016849199663016 0 0.00117944397641112 0.00016849199663016 0.00320134793597304 0.00067396798652064 0 0.00033698399326032 0 0.00016849199663016 0 0 0 0 0 0 0 0.00050547598989048 0 0 0 0
"110M2F415" 0.276158382476832 0.12636899747262 0.0449873631002527 0.0222409435551811 0.0983993260320135 0.0566133108677338 0.0390901432181971 0.0235888795282224 0.00033698399326032 0.00909856781802864 0.0016849199663016 0.00016849199663016 0.0401010951979781 0.00977253580454928 0.0016849199663016 0.0138163437236731 0.0225779275484414 0 0.0008424599831508 0.0109519797809604 0.175737152485257 0.00117944397641112 0.00387531592249368 0.00033698399326032 0 0.00370682392586352 0.00202190395956192 0.00033698399326032 0.00909856781802864 0.0008424599831508 0.00101095197978096 0 0 0.00016849199663016 0.00016849199663016 0.00101095197978096 0 0.00067396798652064 0 0.00033698399326032 0 0 0 0 0.00067396798652064 0 0 0 0.00033698399326032 0 0 0
"110M2F515" 0.236225779275484 0.152316764953665 0.0454928390901432 0.0436394271272115 0.103622577927548 0.0552653748946925 0.0343723673125527 0.0197135636057287 0 0.00775063184498736 0.00151642796967144 0 0.0235888795282224 0.00454928390901432 0.00067396798652064 0.012636899747262 0.0380791912384162 0.00033698399326032 0.00033698399326032 0.0187026116259478 0.177927548441449 0.00016849199663016 0.0033698399326032 0.00050547598989048 0 0.00404380791912384 0.00117944397641112 0.00067396798652064 0.00909856781802864 0.0008424599831508 0.00033698399326032 0 0 0 0.00067396798652064 0.00050547598989048 0 0.00033698399326032 0 0.00016849199663016 0 0 0 0 0 0 0 0 0.00134793597304128 0 0 0
"110M2F715" 0.325021061499579 0.0680707666385847 0.0301600673967987 0.020050547598989 0.178264532434709 0.037910699241786 0.012636899747262 0.0212299915754002 0 0.015838247683235 0.0306655433866891 0.00185341196293176 0.0185341196293176 0.00303285593934288 0.00286436394271272 0.00775063184498736 0.0498736310025274 0.00067396798652064 0.00286436394271272 0.0918281381634372 0.00050547598989048 0.00488626790227464 0.0193765796124684 0.00134793597304128 0 0.00286436394271272 0.0161752316764954 0.00033698399326032 0.0197135636057287 0.013647851727043 0.00033698399326032 0 0 0.00050547598989048 0.00033698399326032 0 0 0 0 0.00033698399326032 0 0 0 0 0 0.00050547598989048 0 0 0 0 0 0
